date, incidence
2019-12-08, 1
2019-12-09, 0
2019-12-10, 2
2019-12-11, 3
2019-12-12, 3
2019-12-13, 0
2019-12-14, 0
2019-12-15, 4
2019-12-16, 1
2019-12-17, 6
2019-12-18, 2
2019-12-19, 3
2019-12-20, 10
2019-12-21, 6
2019-12-22, 11
2019-12-23, 8
2019-12-24, 8
2019-12-25, 5
2019-12-26, 7
2019-12-27, 22
2019-12-28, 12
2019-12-29, 13
2019-12-30, 20
2019-12-31, 17
2020-01-01, 96
2020-01-02, 84
2020-01-03, 84
2020-01-04, 60
2020-01-05, 102
2020-01-06, 78
2020-01-07, 72
2020-01-08, 157
2020-01-09, 145
2020-01-10, 265
2020-01-11, 235
2020-01-12, 277
2020-01-13, 355
2020-01-14, 410
2020-01-15, 614
2020-01-16, 693
2020-01-17, 880
2020-01-18, 988
2020-01-19, 1187
2020-01-20, 1898
2020-01-21, 2078
2020-01-22, 2663
2020-01-23, 3229
2020-01-24, 3651
2020-01-25, 3584
2020-01-26, 3783
2020-01-27, 3614
2020-01-28, 3657
2020-01-29, 3259
2020-01-30, 3349
2020-01-31, 3157
2020-02-01, 5283
2020-02-02, 3024
2020-02-03, 2867
2020-02-04, 2633
2020-02-05, 2566
2020-02-06, 2102
2020-02-07, 2072
2020-02-08, 1952
2020-02-09, 1578
2020-02-10, 1530
2020-02-11, 801
